player_id	player_name	bat_style	bowl_style	player_full_name
73	MP Stoinis	Right hand Bat	Right arm Medium	Marcus Peter Stoinis
268	RA Tripathi	Right hand Bat	Right arm Medium	Rahul Ajay Tripathi
59	MK Pandey	Right hand Bat	Right arm Medium	Manish Krishnanand Pandey
68	M Vohra	Right hand Bat	Right arm Medium	Manan Vohra
638	NB Singh	Right hand Bat	Right arm Medium	Nathu Bharat Singh
1242	R Vinay Kumar	Right hand Bat	Right arm Medium	Ranganath Vinay Kumar
52	P Kumar	Right hand Bat	Right arm Medium	Praveenkumar Sakat Singh
41	DL Chahar	Right hand Bat	Right arm Medium	Deepak Lokandersingh Chahar
457	AD Mathews	Right hand Bat	Right arm Medium	Angelo Davis Mathews
7	STR Binny	Right hand Bat	Right arm Medium	Stuart Terence Roger Binny
1285	HV Patel	Right hand Bat	Right arm Medium	Harshal Vikram Patel
332	V Kohli	Right hand Bat	Right arm Medium	Virat Kohli
20	B Kumar	Right hand Bat	Right arm Medium	Bhuvneshwar Kumar Singh
1393	DJ Bravo	Right hand Bat	Right arm Medium	Dwayne John Bravo
4960	MR Marsh	Right hand Bat	Right arm Medium	Mitchell Ross Marsh
8355	Mukesh Kumar	Right hand Bat	Right arm Medium	Mukesh Kumar
2353	CJ Dala	Right hand Bat	Right arm Medium	Carl Junior Dala
4097	PK Garg	Right hand Bat	Right arm Medium	Priyam K Garg
7192	Aman Hakim Khan	Right hand Bat	Right arm Medium	Aman Hakim Khan
7496	DJ Mitchell	Right hand Bat	Right arm Medium	Daryl Joseph Mitchell
8191	PN Mankad	Right hand Bat	Right arm Medium	Prerak Nileshkumar Mankad
6519	IC Porel	Right hand Bat	Right arm Medium	Ishan Chandranath Porel
5181	Monu Kumar	Right hand Bat	Right arm Medium	Monu Kumar Singh
9759	Sanvir Singh	Right hand Bat	Right arm Medium	Sanvir Singh
11924	LR Shukla	Right hand Bat	Right arm Medium	Laxmi Ratan Shukla
12012	SB Styris	Right hand Bat	Right arm Medium	Scott Bernard Styris
11963	T Kohli	Right hand Bat	Right arm Medium	Taruwar Sushil Kohli
11949	P Amarnath	Right hand Bat	Right arm Medium	Palani Amarnath
11993	MA Khote	Right hand Bat	Right arm Medium	Musavir Asmat Khote
11921	RT Ponting	Right hand Bat	Right arm Medium	Ricky Thomas Ponting
34126	SS Mundhe	Right hand Bat	Right arm Medium	Shrikant Shrihari Mundhe
15334	RS Sodhi	Right hand Bat	Right arm Medium	Reetinder Singh Sodhi
34959	LJ Wright	Right hand Bat	Right arm Medium	Luke James Wright
14476	R Sathish	Right hand Bat	Right arm Medium	Rajagopal Sathish
13248	AM Salvi	Right hand Bat	Right arm Medium	Aavishkar Madhav Salvi
13651	GR Napier	Right hand Bat	Right arm Medium	Graham Richard Napier
13620	S Tyagi	Right hand Bat	Right arm Medium	Sudeep Tyagi
14206	SS Shaikh	Right hand Bat	Right arm Medium	Shoaib Shabbir Shaikh
15003	PD Collingwood	Right hand Bat	Right arm Medium	Paul David Collingwood
14216	Jaskaran Singh	Right hand Bat	Right arm Medium	Jaskaran Singh Buttar
13986	A Mithun	Right hand Bat	Right arm Medium	Abhimanyu Mithun
13508	AN Ghosh	Right hand Bat	Right arm Medium	Arindam Nanigopal Ghosh
14008	SS Sarkar	Right hand Bat	Right arm Medium	Sourav Subrata Sarkar
13383	PC Valthaty	Right hand Bat	Right arm Medium	Paul Chandrashekar Valthaty
34554	P Awana	Right hand Bat	Right arm Medium	Parvinder Awana
34530	RR Bhatkal	Right hand Bat	Right arm Medium	Raju Ravi Bhatkal
34343	KK Cooper	Right hand Bat	Right arm Medium	Kevon Keston Cooper
13258	VS Malik	Right hand Bat	Right arm Medium	Vikramjeet Singh Malik
76	Sandeep Sharma	Right hand Bat	Right arm Medium	Sandeep Sharma
8748	Vijaykumar Vyshak	Right hand Bat	Right arm Medium	Vijaykumar Vyshak
36610	DJG Sammy	Right hand Bat	Right arm Medium	Daren Julius Garvey Sammy
54	DS Kulkarni	Right hand Bat	Right arm Medium	Dhawal Sunil Kulkarni
11972	SK Trivedi	Right hand Bat	Right arm Medium	Siddharth Kishorkumar Trivedi
34774	A Ashish Reddy	Right hand Bat	Right arm Medium	Ammana Ashish Reddy
12238	B Chipli	Right hand Bat	Right arm Medium	Bharat Chipli
36536	IC Pandey	Right hand Bat	Right arm Medium	Ishwar Chand Pandey
35459	K Upadhyay	Right hand Bat	Right arm Medium	Krishnakant Upadhyay
38924	DJ Muthuswami	Right hand Bat	Right arm Medium	Domnic Joseph Muthuswami
34601	V Pratap Singh	Right hand Bat	Right arm Medium	Veer Pratap Singh
293	V Shankar	Right hand Bat	Right arm Medium	Vijay Shankar
34382	DJ Harris	Right hand Bat	Right arm Medium	Daniel Joseph Harris
15829	AUK Pathan	Right hand Bat	Right arm Medium	Asad Ullah Khan Pathan
7134	SS Prabhudessai	Right hand Bat	Right arm Medium	Suyash S Prabhudessai
360	SN Thakur	Right hand Bat	Right arm Medium	Shardul Narendra Thakur
33919	Anand Rajan	Right hand Bat	Right arm Medium	Anand Rajan
39089	RG More	Right hand Bat	Right arm Medium	Ronit Gajanan More
3718	S Sandeep Warrier	Right hand Bat	Right arm Medium	Sankarankutty Sandeep Warrier
767	Anureet Singh	Right hand Bat	Right arm Medium	Kathuria Anureet Singh
35146	BB Samantray	Right hand Bat	Right arm Medium	Biplab Bipin Samantray
15049	C Ganapathy	Right hand Bat	Right arm Medium	Chandrasekar Ganapathy
35030	R Shukla	Right hand Bat	Right arm Medium	Rahul Shukla
13882	GJ Bailey	Right hand Bat	Right arm Medium	George John Bailey
7036	Ramandeep Singh	Right hand Bat	Right arm Medium	Ramandeep Singh
2760	Rasikh Salam	Right hand Bat	Right arm Medium	Rasikh Salam Dar
34	AM Rahane	Right hand Bat	Right arm Medium	Ajinkya Madhukar Rahane
34272	RE Levi	Right hand Bat	Right arm Medium	Richard Ernst Levi
2023	KM Asif	Right hand Bat	Right arm Medium	KM Asif
9748	MD Shanaka	Right hand Bat	Right arm Medium	Madagamagamage Dasun Shanaka
13320	Yashpal Singh	Right hand Bat	Right arm Medium	Yashpal Singh
14649	DR Martyn	Right hand Bat	Right arm Medium	Damien Richard Martyn
12765	PM Sarvesh Kumar	Right hand Bat	Right arm Medium	PM Sarvesh Kumar
12369	DP Vijaykumar	Right hand Bat	Right arm Medium	David Paidikalva Vijaykumar
33963	Y Gnaneswara Rao	Right hand Bat	Right arm Medium	Yalaka Gnaneswara Rao
2	Mandeep Singh	Right hand Bat	Right arm Medium	Mandeep Singh
50	DR Smith	Right hand Bat	Right arm Medium	Dwayne Romel Smith
36973	UA Birla	Right hand Bat	Right arm Medium	Udit Alok Birla
15818	RV Gomez	Right hand Bat	Right arm Medium	Raiphi Vincent Gomez
13267	Harmeet Singh	Right hand Bat	Right arm Medium	Harmeet Singh Bansal
13250	RS Bopara	Right hand Bat	Right arm Medium	Ravinder Singh Bopara
495	S Kaul	Right hand Bat	Right arm Medium	Siddarth Kaul
11961	WA Mota	Right hand Bat	Right arm Medium	Wilkin Arvind Mota
51	MS Gony	Right hand Bat	Right arm Medium	Manpreet Singh Gony
219	AS Rajpoot	Right hand Bat	Right arm Medium	Ankit Singh Rajpoot
75	MM Sharma	Right hand Bat	Right arm Medium	Mohit Mahipal Sharma
13497	AA Bilakhia	Right hand Bat	Right arm Medium	Azharuddin Anjum Bilakhia
8372	HC Brook	Right hand Bat	Right arm Medium	Harry Cherrington Brook
29	KA Pollard	Right hand Bat	Right arm Medium	Kieron Adrian Pollard
12032	DPMD Jayawardene	Right hand Bat	Right arm Medium	Denagamage Proboth Mahela de Silva Jayawardene
11953	JR Hopes	Right hand Bat	Right arm Medium	James Redfern Hopes
16862	CJ Ferguson	Right hand Bat	Right arm Medium	Callum James Ferguson
2701	S Dube	Left hand Bat	Right arm Medium	Shivam Dube
8333	KR Mayers	Left hand Bat	Right arm Medium	Kyle Rico Mayers
14648	MJ Lumb	Left hand Bat	Right arm Medium	Michael John Lumb
13384	RJ Quiney	Left hand Bat	Right arm Medium	Robert John Quiney
11943	MEK Hussey	Left hand Bat	Right arm Medium	Michael Edward Killeen Hussey
14653	S Narwal	Left hand Bat	Right arm Medium	Sumit Narwal
40895	UT Khawaja	Left hand Bat	Right arm Medium	Usman Tariq Khawaja
4146	TU Deshpande	Left hand Bat	Right arm Medium	Tushar Uday Deshpande
12221	TM Srivastava	Left hand Bat	Right arm Medium	Tanmay Manoj Srivastava
11942	ML Hayden	Left hand Bat	Right arm Medium	Matthew Lawrence Hayden
11990	AM Nayar	Left hand Bat	Right arm Medium	Abhishek Mohan Nayar
13228	JD Ryder	Left hand Bat	Right arm Medium	Jesse Daniel Ryder
14454	Anirudh Singh	Left hand Bat	Right arm Medium	Anirudh Singh
5986	VR Iyer	Left hand Bat	Right arm Medium	Venkatesh Rajasekaran Iyer
8776	Harpreet Singh	Left hand Bat	Right arm Medium	Harpreet Singh Bhatia
11919	SC Ganguly	Left hand Bat	Right arm Medium	Sourav Chandidas Ganguly
6713	PBB Rajapaksa	Left hand Bat	Right arm Medium	Pramod Bhanuka Bandara Rajapaksa
14726	FY Fazal	Left hand Bat	Right arm Medium	Faiz Yakub Fazal
47	SK Raina	Left hand Bat	Right arm Offbreak	Suresh Kumar Raina
6	Sachin Baby	Left hand Bat	Right arm Offbreak	Sachin Baby
72	DA Miller	Left hand Bat	Right arm Offbreak	David Andrew Miller
65	SP Narine	Left hand Bat	Right arm Offbreak	Sunil Philip Narine
6681	Tilak Varma	Left hand Bat	Right arm Offbreak	Namboori Thakur Tilak Varma
8349	RR Rossouw	Left hand Bat	Right arm Offbreak	Rilee Roscoe Rossouw
11952	K Goel	Left hand Bat	Right arm Offbreak	Karan Goel
1964	JP Duminy	Left hand Bat	Right arm Offbreak	Jean-Paul Duminy
12669	LA Pomersbach	Left hand Bat	Right arm Offbreak	Luke Anthony Pomersbach
2227	MM Ali	Left hand Bat	Right arm Offbreak	Moeen Munir Ali
12107	GC Smith	Left hand Bat	Right arm Offbreak	Graeme Craig Smith
12315	Salman Butt	Left hand Bat	Right arm Offbreak	Salman Butt
1436	RK Singh	Left hand Bat	Right arm Offbreak	Rinku Khanchand Singh
38322	VH Zol	Left hand Bat	Right arm Offbreak	Vijay Hari Zol
4071	D Padikkal	Left hand Bat	Right arm Offbreak	Devdutt Padikkal
1	CH Gayle	Left hand Bat	Right arm Offbreak	Christopher Henry Gayle
13	S Dhawan	Left hand Bat	Right arm Offbreak	Shikhar Dhawan
613	Washington Sundar	Left hand Bat	Right arm Offbreak	Washington Sundar
963	MN Samuels	Right hand Bat	Right arm Offbreak	Marlon Nathaniel Samuels
531	KS Williamson	Right hand Bat	Right arm Offbreak	Kane Stuart Williamson
525	J Yadav	Right hand Bat	Right arm Offbreak	Jayant Yadav
1448	K Gowtham	Right hand Bat	Right arm Offbreak	Krishnappa Gowtham
60	YK Pathan	Right hand Bat	Right arm Offbreak	Yusuf Khan Pathan
760	MJ Guptill	Right hand Bat	Right arm Offbreak	Martin James Guptill
744	AR Bawne	Right hand Bat	Right arm Offbreak	Ankit Ramdas Bawne
5407	M Shahrukh Khan	Right hand Bat	Right arm Offbreak	Masood Shahrukh Khan
6054	AK Markram	Right hand Bat	Right arm Offbreak	Aiden Kyle Markram
4119	RD Gaikwad	Right hand Bat	Right arm Offbreak	Ruturaj Dashrat Gaikwad
7017	M Theekshana	Right hand Bat	Right arm Offbreak	Morawakage Maheesh Theekshana
1849	PP Shaw	Right hand Bat	Right arm Offbreak	Prithvi Pankaj Shaw
3214	SD Lad	Right hand Bat	Right arm Offbreak	Siddhesh Dinesh Lad
2910	GH Vihari	Right hand Bat	Right arm Offbreak	Gade Hanuma Vihari
12013	AS Yadav	Right hand Bat	Right arm Offbreak	Arjun Shivlal Yadav
12318	BJ Hodge	Right hand Bat	Right arm Offbreak	Bradley John Hodge
11947	S Badrinath	Right hand Bat	Right arm Offbreak	Subramaniam Badrinath
11923	Mohammad Hafeez	Right hand Bat	Right arm Offbreak	Mohammad Hafeez
8597	MW Short	Right hand Bat	Right arm Offbreak	Matthew William Short
11922	DJ Hussey	Right hand Bat	Right arm Offbreak	David John Hussey
14464	OA Shah	Right hand Bat	Right arm Offbreak	Owais Alam Shah
16380	NL McCullum	Right hand Bat	Right arm Offbreak	Nathan Leslie McCullum
14757	MD Mishra	Right hand Bat	Right arm Offbreak	Mohnish Dinesh Mishra
14136	J Botha	Right hand Bat	Right arm Offbreak	Johan Botha
15779	S Randiv	Right hand Bat	Right arm Offbreak	Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla
14279	Y Nagar	Right hand Bat	Right arm Offbreak	Yogesh Nagar
8098	A Tomar	Right hand Bat	Right arm Offbreak	Abhijeet Tomar
25	RG Sharma	Right hand Bat	Right arm Offbreak	Rohit Gurunath Sharma
13595	TL Suman	Right hand Bat	Right arm Offbreak	Tirumalasetti Laxminarayana Suman
12204	SD Chitnis	Right hand Bat	Right arm Offbreak	Siddharth Dilip Chitnis
35864	Sunny Gupta	Right hand Bat	Right arm Offbreak	Sunny Gupta
13083	BAW Mendis	Right hand Bat	Right arm Offbreak	Balapuwaduge Ajantha Winslow Mendis
12327	SA Asnodkar	Right hand Bat	Right arm Offbreak	Swapnil Ashok Asnodkar
11966	M Kaif	Right hand Bat	Right arm Offbreak	Mohammad Kaif
35892	MC Juneja	Right hand Bat	Right arm Offbreak	Manprit Charanjit Juneja
6360	Anmolpreet Singh	Right hand Bat	Right arm Offbreak	Anmolpreet Singh
7902	KS Sharma	Right hand Bat	Right arm Offbreak	Karan Sunny Sharma
5473	Lalit Yadav	Right hand Bat	Right arm Offbreak	Lalit Yadav
16	DJ Hooda	Right hand Bat	Right arm Offbreak	Deepak Jagbir Hooda
15108	MB Parmar	Right hand Bat	Right arm Offbreak	Mohnish Bipinbhai Parmar
12065	Shoaib Malik	Right hand Bat	Right arm Offbreak	Shoaib Malik
38229	Shivam Sharma	Right hand Bat	Right arm Offbreak	Shivam Sharma
5349	RM Patidar	Right hand Bat	Right arm Offbreak	Rajat Manohar Patidar
491	Mohammad Nabi	Right hand Bat	Right arm Offbreak	Mohammad Nabi
35	MA Agarwal	Right hand Bat	Right arm Offbreak	Mayank Anurag Agarwal
13231	KP Pietersen	Right hand Bat	Right arm Offbreak	Kevin Peter Pietersen
15837	UBT Chand	Right hand Bat	Right arm Offbreak	Unmukt Bharat Thakur Chand
12008	Y Venugopal Rao	Right hand Bat	Right arm Offbreak	Yalaka Venugopal Rao
546	Gurkeerat Singh	Right hand Bat	Right arm Offbreak	Gurkeerat Rupinder Singh
4771	CJ Green	Right hand Bat	Right arm Offbreak	Christopher James Green
1416	R Ashwin	Right hand Bat	Right arm Offbreak	Ravichandran Ashwin
14485	AA Jhunjhunwala	Right hand Bat	Right arm Offbreak	Abhishek Arunkumar Jhunjhunwala
9044	Abdul Basith	Right hand Bat	Right arm Offbreak	Pappanayil Abdul Basith
34931	A Chandila	Right hand Bat	Right arm Offbreak	Ajit  Chandila
12009	VVS Laxman	Right hand Bat	Right arm Offbreak	Vangipurappu Venkata Sai Laxman
12093	VS Yeligati	Right hand Bat	Right arm Offbreak	Vikrant Shyam Yeligati
7365	HR Shokeen	Right hand Bat	Right arm Offbreak	Hrithik Rakesh Shokeen
11931	W Jaffer	Right hand Bat	Right arm Offbreak	Wasim Jaffer
11975	V Sehwag	Right hand Bat	Right arm Offbreak	Virender Sehwag
1630	M Vijay	Right hand Bat	Right arm Offbreak	Murali Vijay
36227	SMSM Senanayake	Right hand Bat	Right arm Offbreak	Senanayake Mudiyanselage Sachithra Madhushanka Senanayake
11998	LRPL Taylor	Right hand Bat	Right arm Offbreak	Luteru Ross Poutoa Lote Taylor
8312	Sikandar Raza	Right hand Bat	Right arm Offbreak	Sikandar Raza Butt
6727	A Badoni	Right hand Bat	Right arm Offbreak	Ayush Badoni
6550	TH David	Right hand Bat	Right arm Offbreak	Timothy Hays David
16009	R Ninan	Right hand Bat	Right arm Offbreak	Ryan Ninan
14707	AB Barath	Right hand Bat	Right arm Offbreak	Adrian Boris Barath
2138	DR Shorey	Right hand Bat	Right arm Offbreak	Dhruv Ranjan Shorey
71	GJ Maxwell	Right hand Bat	Right arm Offbreak	Glenn James Maxwell
8646	YV Dhull	Right hand Bat	Right arm Offbreak	Yash Vijay Dhull
12546	J Arunkumar	Right hand Bat	Right arm Offbreak	Jagadeesh Arunkumar
179	KK Nair	Right hand Bat	Right arm Offbreak	Karun Nair
228	Harbhajan Singh	Right hand Bat	Right arm Offbreak	Harbhajan Singh
3393	AJ Turner	Right hand Bat	Right arm Offbreak	Ashton James Turner
37119	Parvez Rasool	Right hand Bat	Right arm Offbreak	Parvez Ghulam Rasool Zargar
1419	Mujeeb Ur Rahman	Right hand Bat	Right arm Offbreak	Mujeeb Ur Rahman
1580	Shubman Gill	Right hand Bat	Right arm Offbreak	Shubman Gill
36609	X Thalaivan Sargunam	Right hand Bat	Right arm Offbreak	Xavier Thalaivan Sargunam
4	KM Jadhav	Right hand Bat	Right arm Offbreak	Kedar Mahadav Jadhav
12738	RR Powar	Right hand Bat	Right arm Offbreak	Ramesh Rajaram Powar
11951	M Muralitharan	Right hand Bat	Right arm Offbreak	Muthiah Muralidaran
1286	Avesh Khan	Right hand Bat	Right arm Fast medium	Avesh Khan
182	CH Morris	Right hand Bat	Right arm Fast medium	Christopher Henry Morris
196	Basil Thampi	Right hand Bat	Right arm Fast medium	Basil Thampi
5	SR Watson	Right hand Bat	Right arm Fast medium	Shane Robert Watson
6761	R Shepherd	Right hand Bat	Right arm Fast medium	Romario Shepherd
7751	SA Abbott	Right hand Bat	Right arm Fast medium	Sean Anthony Abbott
6710	Akash Deep	Right hand Bat	Right arm Fast medium	Akash Deep
11984	GD McGrath	Right hand Bat	Right arm Fast medium	Glenn Donald McGrath
11982	MF Maharoof	Right hand Bat	Right arm Fast medium	Mohamed Farveez Maharoof
12323	Umar Gul	Right hand Bat	Right arm Fast medium	Umar Gul
11933	JH Kallis	Right hand Bat	Right arm Fast medium	Jacques Henry Kallis
11983	B Geeves	Right hand Bat	Right arm Fast medium	Brett Geeves
8569	SSB Magala	Right hand Bat	Right arm Fast medium	Sisanda Somila Bruce Magala
13016	A Nel	Right hand Bat	Right arm Fast medium	Andre Nel
15878	AC Thomas	Right hand Bat	Right arm Fast medium	Alfonso Clive Thomas
12422	RR Raje	Right hand Bat	Right arm Fast medium	Rohan Ravindra Raje
12661	AD Mascarenhas	Right hand Bat	Right arm Fast medium	Adrian Dimitri Mascarenhas
14541	JM Kemp	Right hand Bat	Right arm Fast medium	Justin Miles Kemp
14201	Mashrafe Mortaza	Right hand Bat	Right arm Fast medium	Mashrafe Bin Mortaza
8383	C Green	Right hand Bat	Right arm Fast medium	Cameron Donald Green
2024	L Ngidi	Right hand Bat	Right arm Fast medium	Lungisani True-man Ngidi
11991	SM Pollock	Right hand Bat	Right arm Fast medium	Shaun Maclean Pollock
38647	JW Hastings	Right hand Bat	Right arm Fast medium	John Wayne Hastings
1327	CJ Jordan	Right hand Bat	Right arm Fast medium	Christopher James Jordan
34697	CJ McKay	Right hand Bat	Right arm Fast medium	Clinton James McKay
2188	M Prasidh Krishna	Right hand Bat	Right arm Fast medium	Muralikrishna Prasidh Krishna
8295	RS Hangargekar	Right hand Bat	Right arm Fast medium	Rajvardhan S Hangargekar
17	BCJ Cutting	Right hand Bat	Right arm Fast medium	Benjamin Colin James Cutting
11937	AA Noffke	Right hand Bat	Right arm Fast medium	Ashley Allan Noffke
41020	F Behardien	Right hand Bat	Right arm Fast medium	Farhaan Behardien
40385	KJ Abbott	Right hand Bat	Right arm Fast medium	Kyle John Abbott
15866	NJ Rimmington	Right hand Bat	Right arm Fast medium	Nathan John Rimmington
183	CR Brathwaite	Right hand Bat	Right arm Fast medium	Carlos Ricardo Brathwaite
5686	KW Richardson	Right hand Bat	Right arm Fast medium	Kane William Richardson
